,0
0,rpeakneg4672
1,rpeakneg4686
2,rpeakneg4851
3,rpeakneg4861
4,rpeakneg4876
5,rpeakneg4893
6,rpeakneg4967
7,rpeakneg5024
8,rpeakneg5068
9,rpeakneg5095
10,rpeakneg5145
11,rpeakneg5178
12,rpeakneg5209
13,rpeakneg5228
14,rpeakneg5229
15,rpeakneg5237
16,rpeakneg5413
17,rpeakneg5445
18,rpeakneg5505
19,rpeakneg5677
20,rpeakneg5704
21,rpeakneg5823
22,rpeakneg5829
23,rpeakneg5841
24,rpeakneg5871
25,rpeakneg5973
26,rpeakneg4708
27,rpeakneg4875
28,rpeakneg4892
29,rpeakneg4912
30,rpeakneg5050
31,rpeakneg5094
32,rpeakneg5113
33,rpeakneg5151
34,rpeakneg5236
35,rpeakneg5246
36,rpeakneg5268
37,rpeakneg5291
38,rpeakneg5431
39,rpeakneg5488
40,rpeakneg5489
41,rpeakneg5506
42,rpeakneg5507
43,rpeakneg5523
44,rpeakneg5667
45,rpeakneg5676
46,rpeakneg5691
47,rpeakneg5705
48,rpeakneg5721
49,rpeakneg5739
50,rpeakneg5822
51,rpeakneg5830
52,rpeakneg5872
53,rpeakneg5983
54,rpeakneg5996
55,rpeakneg6035
56,rpeakneg6045
57,rpeakneg3060
58,rpeakneg3224
59,rpeakneg3270
60,rpeakneg3454
61,rpeakneg3497
62,rpeakneg3730
63,rpeakneg3913
64,rpeakneg3924
65,rpeakneg3942
66,rpeakneg4058
67,rpeakneg4157
68,rpeakneg4168
69,rpeakneg4186
70,rpeakneg4204
71,rpeakneg4329
72,rpeakneg4337
73,rpeakneg4339
74,rpeakneg4352
75,rpeakneg4448
76,rpeakneg4449
77,rpeakneg4595
78,rpeakneg4608
79,rpeakneg4752
80,rpeakneg4766
81,rpeakneg4783
82,rpeakneg4872
83,rpeakneg4887
84,rpeakneg4907
85,rpeakneg4952
86,rpeakneg4965
87,rpeakneg4966
88,rpeakneg4983
89,rpeakneg4997
90,rpeakneg5013
91,rpeakneg5048
92,rpeakneg5065
93,rpeakneg5090
94,rpeakneg5110
95,rpeakneg5142
96,rpeakneg5143
97,rpeakneg5148
98,rpeakneg5149
99,rpeakneg5163
100,rpeakneg5177
101,rpeakneg5195
102,rpeakneg5214
103,rpeakneg5235
104,rpeakneg5290
105,rpeakneg5343
106,rpeakneg5356
107,rpeakneg5357
108,rpeakneg5369
109,rpeakneg5392
110,rpeakneg5393
111,rpeakneg5415
112,rpeakneg5503
113,rpeakneg5522
114,rpeakneg5610
115,rpeakneg5624
116,rpeakneg5641
117,rpeakneg5642
118,rpeakneg5655
119,rpeakneg5734
120,rpeakneg5771
121,rpeakneg5781
122,rpeakneg5794
123,rpeakneg4172
124,rpeakneg4431
125,rpeakneg4452
126,rpeakneg4515
127,rpeakneg4532
128,rpeakneg4573
129,rpeakneg4578
130,rpeakneg4591
131,rpeakneg4667
132,rpeakneg4679
133,rpeakneg4736
134,rpeakneg4740
135,rpeakneg4750
136,rpeakneg4762
137,rpeakneg4869
138,rpeakneg4960
139,rpeakneg4978
140,rpeakneg5083
141,rpeakneg5106
142,rpeakneg5158
143,rpeakneg5171
144,rpeakneg5260
145,rpeakneg5282
146,rpeakneg5342
147,rpeakneg5352
148,rpeakneg5364
149,rpeakneg5385
150,rpeakneg5535
151,rpeakneg5602
152,rpeakneg5616
153,rpeakneg5635
154,rpeakneg5648
155,rpeakneg198
156,rpeakneg345
157,rpeakneg352
158,rpeakneg356
159,rpeakneg400
160,rpeakneg425
161,rpeakneg435
162,rpeakneg443
163,rpeakneg452
164,rpeakneg507
165,rpeakneg513
166,rpeakneg650
167,rpeakneg678
168,rpeakneg690
169,rpeakneg842
170,rpeakneg911
171,rpeakneg928
172,rpeakneg932
173,rpeakneg982
174,rpeakneg989
175,rpeakneg996
176,rpeakneg1024
177,rpeakneg1052
178,rpeakneg1064
179,rpeakneg1079
180,rpeakneg1309
181,rpeakneg1348
182,rpeakneg1355
183,rpeakneg1391
184,rpeakneg1429
185,rpeakneg1446
186,rpeakneg1520
187,rpeakneg1541
188,rpeakneg1550
189,rpeakneg1564
190,rpeakneg1570
191,rpeakneg1601
192,rpeakneg1683
193,rpeakneg1707
194,rpeakneg1714
195,rpeakneg1748
196,rpeakneg1759
197,rpeakneg1779
198,rpeakneg1795
199,rpeakneg1909
200,rpeakneg1915
201,rpeakneg1923
202,rpeakneg1925
203,rpeakneg1947
204,rpeakneg1971
205,rpeakneg2015
206,rpeakneg2016
207,rpeakneg2029
208,rpeakneg2066
209,rpeakneg2071
210,rpeakneg2126
211,rpeakneg4369
212,rpeakneg4522
213,rpeakneg4639
214,rpeakneg4647
215,rpeakneg5049
216,rpeakneg4110
217,rpeakneg4127
218,rpeakneg4239
219,rpeakneg4333
220,rpeakneg4345
221,rpeakneg4393
222,rpeakneg4434
223,rpeakneg4444
224,rpeakneg4458
225,rpeakneg4521
226,rpeakneg4534
227,rpeakneg4544
228,rpeakneg4545
229,rpeakneg4559
230,rpeakneg4581
231,rpeakneg4671
232,rpeakneg4684
233,rpeakneg4705
234,rpeakneg4860
235,rpeakneg4890
236,rpeakneg5066
237,rpeakneg2321
238,rpeakneg2334
239,rpeakneg2498
240,rpeakneg2513
241,rpeakneg2517
242,rpeakneg2632
243,rpeakneg2648
244,rpeakneg2657
245,rpeakneg2754
246,rpeakneg2757
247,rpeakneg2873
248,rpeakneg2957
249,rpeakneg2995
250,rpeakneg3058
251,rpeakneg3110
252,rpeakneg3116
253,rpeakneg3125
254,rpeakneg3161
255,rpeakneg3221
256,rpeakneg3268
257,rpeakneg3306
258,rpeakneg3316
259,rpeakneg3343
260,rpeakneg3353
261,rpeakneg3379
262,rpeakneg3513
263,rpeakneg3539
264,rpeakneg3558
265,rpeakneg3695
266,rpeakneg3747
267,rpeakneg3896
268,rpeakneg3908
269,rpeakneg3918
270,rpeakneg3931
271,rpeakneg3950
272,rpeakneg4254
273,rpeakneg4300
274,rpeakneg4409
275,rpeakneg4456
276,rpeakneg4468
277,rpeakneg4479
278,rpeakneg4490
279,rpeakneg4507
280,rpeakneg4557
281,rpeakneg4594
282,rpeakneg4606
283,rpeakneg4619
284,rpeakneg4631
285,rpeakneg4751
286,rpeakneg4764
287,rpeakneg4779
288,rpeakneg4780
289,rpeakneg4795
290,rpeakneg5609
